contraction;full
ain(t|'t|´t|`t);is not
aren(t|'t|´t|`t);are not
can(t|'t|´t|`t);can not
cannot;can not
couldn(t|'t|´t|`t);could not
didn(t|'t|´t|`t);did not
doesn(t|'t|´t|`t);does not
don(t|'t|´t|`t);do not
hadn(t|'t|´t|`t);had not
hasn(t|'t|´t|`t);has not
haven(t|'t|´t|`t);have not
i('d|´d|`d);i would
i('ll|´ll|`ll);i will
it('s|´s|`s);it is
i('ve|´ve|`ve);i have
must(ve|'ve|´ve|`ve);must have
mustn(t|'t|´t|`t);must not
might(ve|'ve|´ve|`ve);might have
needn(t|'t|´t|`t);need not
should(ve|'ve|´ve|`ve);should have
shouldn(t|'t|´t|`t);should not
who('re|´re|`re);who are
who(ll|'ll|´ll|`ll);who will
wouldn(t|'t|´t|`t);would not
won('t|´t|`t);will not
you(re|'re|´re|`re);you are
you(ve|'ve|´ve|`ve);you have
you(ll|'ll|´ll|`ll);you will
could(ve|'ve|´ve|`ve);could have
('s|´s|`s);
we('ve|´ve);we have
at&t;atandt
"at&amp;t";atandt
wi( fi|fi|-fi);wifi
w(lan|-lan);wifi
wireless lan;wifi
cancelation;cancellation
recomend;recommend
reccommend;recommend
reccomend;recommend
headphonehighly;headphone high
noise cancellation;noise cancel